Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,$60.00,875,"$525,000.00","$157,500.00",30%,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,$65.00,"1,000","$650,000.00","$162,500.00",25%,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,$60.00,"1,250","$750,000.00","$375,000.00",50%,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,$55.00,"1,000","$550,000.00","$165,000.00",30%,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,$50.00,925,"$462,500.00","$161,875.00",35%,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,$50.00,900,"$450,000.00","$157,500.00",35%,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,$60.00,900,"$540,000.00","$162,000.00",30%,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,$65.00,"1,050","$682,500.00","$170,625.00",25%,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,$60.00,"1,275","$765,000.00","$382,500.00",50%,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,$55.00,"1,025","$563,750.00","$169,125.00",30%,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,$50.00,950,"$475,000.00","$166,250.00",35%,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,$50.00,900,"$450,000.00","$157,500.00",35%,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,$60.00,925,"$555,000.00","$166,500.00",30%,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,$65.00,"1,100","$715,000.00","$178,750.00",25%,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,$60.00,"1,250","$750,000.00","$375,000.00",50%,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,$55.00,"1,025","$563,750.00","$169,125.00",30%,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,$50.00,950,"$475,000.00","$166,250.00",35%,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,$50.00,925,"$462,500.00","$161,875.00",35%,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,$60.00,900,"$540,000.00","$162,000.00",30%,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,$65.00,"1,075","$698,750.00","$174,688.00",25%,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,$60.00,"1,200","$720,000.00","$360,000.00",50%,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,$55.00,"1,000","$550,000.00","$165,000.00",30%,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,$50.00,925,"$462,500.00","$161,875.00",35%,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,$50.00,900,"$450,000.00","$157,500.00",35%,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,$60.00,900,"$540,000.00","$162,000.00",30%,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,$65.00,"1,000","$650,000.00","$162,500.00",25%,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,$65.00,875,"$568,750.00","$170,625.00",30%,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,$70.00,"1,000","$700,000.00","$175,000.00",25%,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,$65.00,"1,150","$747,500.00","$373,750.00",50%,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,$55.00,975,"$536,250.00","$160,875.00",30%,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,$55.00,920,"$506,000.00","$177,100.00",35%,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,$55.00,900,"$495,000.00","$173,250.00",35%,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,$65.00,875,"$568,750.00","$170,625.00",30%,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,$70.00,975,"$682,500.00","$170,625.00",25%,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,$65.00,"1,200","$780,000.00","$390,000.00",50%,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,$55.00,"1,000","$550,000.00","$165,000.00",30%,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,$55.00,950,"$522,500.00","$182,875.00",35%,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,$55.00,900,"$495,000.00","$173,250.00",35%,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,$65.00,900,"$585,000.00","$175,500.00",30%,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,$70.00,"1,000","$700,000.00","$175,000.00",25%,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,$25.00,900,"$225,000.00","$78,750.00",35%,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,$35.00,900,"$315,000.00","$110,250.00",35%,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,$35.00,700,"$245,000.00","$85,750.00",35%,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,$35.00,700,"$245,000.00","$110,250.00",45%,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,$40.00,550,"$220,000.00","$66,000.00",30%,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,$35.00,700,"$245,000.00","$122,500.00",50%,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,$25.00,850,"$212,500.00","$74,375.00",35%,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,$35.00,850,"$297,500.00","$104,125.00",35%,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,$35.00,675,"$236,250.00","$82,688.00",35%,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,$35.00,625,"$218,750.00","$98,438.00",45%,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,$40.00,500,"$200,000.00","$60,000.00",30%,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,$35.00,700,"$245,000.00","$122,500.00",50%,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,$30.00,875,"$262,500.00","$91,875.00",35%,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,$40.00,875,"$350,000.00","$122,500.00",35%,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,$35.00,700,"$245,000.00","$85,750.00",35%,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,$40.00,600,"$240,000.00","$108,000.00",45%,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,$45.00,500,"$225,000.00","$67,500.00",30%,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,$40.00,650,"$260,000.00","$130,000.00",50%,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,$30.00,900,"$270,000.00","$94,500.00",35%,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,$40.00,900,"$360,000.00","$126,000.00",35%,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,$35.00,725,"$253,750.00","$88,813.00",35%,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,$40.00,625,"$250,000.00","$112,500.00",45%,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,$45.00,525,"$236,250.00","$70,875.00",30%,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,$40.00,800,"$320,000.00","$160,000.00",50%,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,$30.00,925,"$277,500.00","$97,125.00",35%,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,$40.00,925,"$370,000.00","$129,500.00",35%,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,$35.00,775,"$271,250.00","$94,938.00",35%,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,$40.00,700,"$280,000.00","$126,000.00",45%,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,$45.00,600,"$270,000.00","$81,000.00",30%,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,$40.00,950,"$380,000.00","$190,000.00",50%,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,$40.00,950,"$380,000.00","$133,000.00",35%,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,$45.00,950,"$427,500.00","$149,625.00",35%,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,$40.00,800,"$320,000.00","$112,000.00",35%,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,$40.00,750,"$300,000.00","$135,000.00",45%,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,$45.00,650,"$292,500.00","$87,750.00",30%,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,$50.00,"1,000","$500,000.00","$250,000.00",50%,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,$40.00,950,"$380,000.00","$133,000.00",35%,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,$45.00,950,"$427,500.00","$149,625.00",35%,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,$40.00,"1,100","$440,000.00","$154,000.00",35%,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,$40.00,700,"$280,000.00","$126,000.00",45%,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,$45.00,700,"$315,000.00","$94,500.00",30%,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,$50.00,975,"$487,500.00","$243,750.00",50%,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,$40.00,925,"$370,000.00","$129,500.00",35%,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,$45.00,925,"$416,250.00","$145,688.00",35%,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,$40.00,"1,100","$440,000.00","$154,000.00",35%,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,$40.00,650,"$260,000.00","$117,000.00",45%,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,$45.00,650,"$292,500.00","$87,750.00",30%,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,$50.00,900,"$450,000.00","$225,000.00",50%,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,$45.00,850,"$382,500.00","$133,875.00",35%,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,$45.00,850,"$382,500.00","$133,875.00",35%,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,$50.00,900,"$450,000.00","$157,500.00",35%,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,$50.00,625,"$312,500.00","$140,625.00",45%,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,$45.00,625,"$281,250.00","$84,375.00",30%,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,$55.00,850,"$467,500.00","$233,750.00",50%,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,$45.00,800,"$360,000.00","$126,000.00",35%,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,$45.00,800,"$360,000.00","$126,000.00",35%,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,$50.00,750,"$375,000.00","$131,250.00",35%,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,$50.00,600,"$300,000.00","$135,000.00",45%,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,$45.00,575,"$258,750.00","$77,625.00",30%,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,$55.00,750,"$412,500.00","$206,250.00",50%,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,$45.00,900,"$405,000.00","$141,750.00",35%,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,$45.00,900,"$405,000.00","$141,750.00",35%,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,$50.00,825,"$412,500.00","$144,375.00",35%,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,$50.00,675,"$337,500.00","$151,875.00",45%,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,$45.00,650,"$292,500.00","$87,750.00",30%,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,$55.00,850,"$467,500.00","$233,750.00",50%,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,$45.00,950,"$427,500.00","$149,625.00",35%,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,$45.00,950,"$427,500.00","$149,625.00",35%,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,$50.00,850,"$425,000.00","$148,750.00",35%,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,$50.00,700,"$350,000.00","$157,500.00",45%,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,$45.00,650,"$292,500.00","$87,750.00",30%,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,$55.00,900,"$495,000.00","$247,500.00",50%,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,$40.00,775,"$310,000.00","$108,500.00",35%,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,$50.00,775,"$387,500.00","$77,500.00",20%,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,$50.00,775,"$387,500.00","$135,625.00",35%,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,$50.00,625,"$312,500.00","$93,750.00",30%,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,$55.00,575,"$316,250.00","$158,125.00",50%,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,$50.00,775,"$387,500.00","$58,125.00",15%,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,$40.00,825,"$330,000.00","$115,500.00",35%,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,$50.00,725,"$362,500.00","$72,500.00",20%,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,$50.00,725,"$362,500.00","$126,875.00",35%,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,$50.00,575,"$287,500.00","$86,250.00",30%,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,$55.00,500,"$275,000.00","$137,500.00",50%,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,$50.00,700,"$350,000.00","$52,500.00",15%,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,$50.00,850,"$425,000.00","$148,750.00",35%,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,$60.00,700,"$420,000.00","$84,000.00",20%,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,$60.00,700,"$420,000.00","$147,000.00",35%,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,$60.00,600,"$360,000.00","$108,000.00",30%,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,$65.00,500,"$325,000.00","$162,500.00",50%,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,$60.00,700,"$420,000.00","$63,000.00",15%,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,$60.00,875,"$525,000.00","$183,750.00",35%,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,$65.00,675,"$438,750.00","$87,750.00",20%,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,$65.00,725,"$471,250.00","$164,938.00",35%,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,$60.00,625,"$375,000.00","$112,500.00",30%,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,$65.00,525,"$341,250.00","$170,625.00",50%,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,$80.00,700,"$560,000.00","$84,000.00",15%,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,$60.00,900,"$540,000.00","$216,000.00",40%,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,$65.00,750,"$487,500.00","$121,875.00",25%,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,$65.00,750,"$487,500.00","$195,000.00",40%,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,$60.00,650,"$390,000.00","$136,500.00",35%,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,$65.00,550,"$357,500.00","$196,625.00",55%,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,$80.00,725,"$580,000.00","$116,000.00",20%,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,$60.00,975,"$585,000.00","$234,000.00",40%,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,$65.00,825,"$536,250.00","$134,063.00",25%,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,$65.00,825,"$536,250.00","$214,500.00",40%,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,$60.00,700,"$420,000.00","$147,000.00",35%,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,$65.00,575,"$373,750.00","$205,563.00",55%,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,$80.00,875,"$700,000.00","$140,000.00",20%,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,$60.00,"1,025","$615,000.00","$215,250.00",35%,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,$65.00,875,"$568,750.00","$113,750.00",20%,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,$65.00,825,"$536,250.00","$187,688.00",35%,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,$60.00,725,"$435,000.00","$130,500.00",30%,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,$65.00,775,"$503,750.00","$251,875.00",50%,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,$80.00,775,"$620,000.00","$93,000.00",15%,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,$65.00,975,"$633,750.00","$221,813.00",35%,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,$70.00,925,"$647,500.00","$129,500.00",20%,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,$65.00,800,"$520,000.00","$182,000.00",35%,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,$65.00,750,"$487,500.00","$146,250.00",30%,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,$75.00,750,"$562,500.00","$281,250.00",50%,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,$80.00,725,"$580,000.00","$87,000.00",15%,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,$55.00,925,"$508,750.00","$152,625.00",30%,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,$60.00,925,"$555,000.00","$83,250.00",15%,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,$55.00,775,"$426,250.00","$127,875.00",30%,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,$55.00,725,"$398,750.00","$99,688.00",25%,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,$65.00,725,"$471,250.00","$212,063.00",45%,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,$70.00,775,"$542,500.00","$54,250.00",10%,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,$55.00,875,"$481,250.00","$144,375.00",30%,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,$60.00,875,"$525,000.00","$78,750.00",15%,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,$55.00,700,"$385,000.00","$115,500.00",30%,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,$55.00,675,"$371,250.00","$92,813.00",25%,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,$65.00,650,"$422,500.00","$190,125.00",45%,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,$70.00,700,"$490,000.00","$49,000.00",10%,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,$55.00,875,"$481,250.00","$144,375.00",30%,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,$60.00,875,"$525,000.00","$78,750.00",15%,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,$55.00,725,"$398,750.00","$119,625.00",30%,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,$55.00,700,"$385,000.00","$96,250.00",25%,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,$65.00,650,"$422,500.00","$190,125.00",45%,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,$70.00,775,"$542,500.00","$54,250.00",10%,Outlet
